name,neme(en),category,sub-category,genre,genre,genre,genre,season,place,code,pref,city,district,address,address(kana),lat,lng,explanation,explanation(en),tel,fax,time,open,close,holiday,charge,img-url,img-url,img-url
路線バス仮停留所,,島田大祭,,,,,,,旭二丁目,,静岡県,島田市,,旭二丁目,,34.831178,138.190895,,,,,,,,,,,,
路線バス仮停留所,,島田大祭,,,,,,,御仮屋町,,静岡県,島田市,,御仮屋町,,34.835014,138.190868,,,,,,,,,,,,
路線バス仮停留所,,島田大祭,,,,,,,祇園町,,静岡県,島田市,,祇園町,,34.835533,138.182114,,,,,,,,,,,,
路線バス仮停留所,,島田大祭,,,,,,,大津通,,静岡県,島田市,,大津通,,34.835498,138.179013,,,,,,,,,,,,
路線バス仮停留所,,島田大祭,,,,,,,扇町,,静岡県,島田市,,扇町,,34.836339,138.173316,,,,,,,,,,,,
路線バス仮停留所,,島田大祭,,,,,,,向島町,,静岡県,島田市,,向島町,,34.833442,138.167582,,,,,,,,,,,,
バスターミナル,,島田大祭,,,,,,,中央町,,静岡県,島田市,,中央町,,34.836031,138.177356,,,,,,,,,,,,
案内所,,島田大祭,,,,,,,ＪＲ島田駅北口広場,,静岡県,島田市,,日之出町,,34.830527,138.174062,,,,,,,,,,,,
案内所,,島田大祭,,,,,,,ＪＲ島田駅南口広場,,静岡県,島田市,,横井三丁目,,34.829571,138.173686,,,,,,,,,,,,
案内所,,島田大祭,,,,,,,おび通り北側,,静岡県,島田市,,本通四丁目,,34.832812,138.176744,,,,,,,,,,,,
コインロッカー,,島田大祭,,,,,,,ＪＲ島田駅北口,,静岡県,島田市,,日之出町,,34.830452,138.173177,,,,,,,,,,,,
駅前観光案内所,,島田大祭,,,,,,,,,静岡県,島田市,,日之出町,,34.830447,138.173547,,,,,,,,,,,,
シャトルバス発着場,,島田大祭,,,,,,,ＪＲ島田駅南口,,静岡県,島田市,,横井三丁目,,34.829554,138.173686,,,,,,,,,,,,
お休み処,,島田大祭,,,,,,,加藤商事駐車場,,静岡県,島田市,,日之出町,,34.830945,138.173987,,,,,,,,,,,,
お休み処,,島田大祭,,,,,,,ＪＲ島田駅北口広場,,静岡県,島田市,,日之出町,,34.830518,138.173992,,,,,,,,,,,,
お休み処,,島田大祭,,,,,,,島田掛川信用金庫本通七丁目支店,,静岡県,島田市,,本通七丁目,,34.832464,138.180858,,,,,,,,,,,,
大祭本部・警察本部,,島田大祭,,,,,,,ぴ～ファイブ,,静岡県,島田市,,本通五丁目,,34.832794,138.178149,,,,,,,,,,,,
赤ちゃん休憩所,,島田大祭,,,,,,,ぴ～ファイブ,,静岡県,島田市,,本通五丁目,,34.832838,138.178192,,,,,,,,,,,,
赤ちゃん休憩所,,島田大祭,,,,,,,島田市地域交流センター歩歩路,,静岡県,島田市,,本通三丁目,,34.832583,138.175725,,,,,,,,,,,,
赤ちゃん休憩所,,島田大祭,,,,,,,島田市こども館,,静岡県,島田市,,本通三丁目,,34.832394,138.174952,,,,,,,,,,,,
トイレ,,島田大祭,,,,,,,サンカク公園,,静岡県,島田市,,日之出町,,34.831372,138.173804,,,,,,,,,,,,
トイレ,,島田大祭,,,,,,,おび通り南側,,静岡県,島田市,,大川町,,34.831390,138.176283,,,,,,,,,,,,
トイレ,,島田大祭,,,,,,,おび通り北側,,静岡県,島田市,,柳町,,34.833569,138.176701,,,,,,,,,,,,
トイレ,,島田大祭,,,,,,,本通六丁目,,静岡県,島田市,,本通六丁目,,34.832588,138.179689,,,,,,,,,,,,
トイレ,,島田大祭,,,,,,,本通七丁目,,静岡県,島田市,,本通七丁目,,34.832341,138.181030,,,,,,,,,,,,
トイレ,,島田大祭,,,,,,,本通七丁目,,静岡県,島田市,,本通七丁目,,34.832539,138.182817,,,,,,,,,,,,
トイレ,,島田大祭,,,,,,,大井川緑地公園（島田球場南側）,,静岡県,島田市,,横井三丁目,,34.824644,138.169389,,,,,,,,,,,,
トイレ,,島田大祭,,,,,,,島田掛川信用金庫本通七丁目支店東側,,静岡県,島田市,,本通七丁目,,34.832341,138.181036,,,,,,,,,,,,
